nom;code_commune;coop;site;color
Les Lilas;93045;Electrons Solaires;https://www.electrons-solaires93.org;2
Romainville;93063;Electrons Solaires;https://www.electrons-solaires93.org;2
Bagnolet;93006;Electrons Solaires;https://www.electrons-solaires93.org;2
Pantin;93055;Electrons Solaires;https://www.electrons-solaires93.org;2
Le Pré Saint-Gervais;93061;Electrons Solaires;https://www.electrons-solaires93.org;2
Bondy;93010;Electrons Solaires;https://www.electrons-solaires93.org;2
Montreuil;93048;Electrons Solaires;https://www.electrons-solaires93.org;2
Noisy-Le-Sec;93053;Electrons Solaires;https://www.electrons-solaires93.org;2
Bobigny;93008;Electrons Solaires;https://www.electrons-solaires93.org;2
Épinay sur Seine;93031;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
Aubervilliers;93001;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
L'Île-Saint-Denis;93039;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
La Courneuve;93027;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
Pierrefitte-sur-Seine;93059;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
Saint-Denis;93066;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
Saint-Ouen-sur-Seine;93070;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
Stains;93072;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
Villetaneuse;93079;Plaine Énergie Citoyenne;https://www.plaine-energie-citoyenne.fr;4
Cachan;94016;Sud Paris Soleil;https://sudparis-soleil.fr;6
Arcueil;94003;Sud Paris Soleil;https://sudparis-soleil.fr;6
Fresnes;94034;Sud Paris Soleil;https://sudparis-soleil.fr;6
Paris;75056;Enercitif;https://enercitif.org;8

